관리번호,수목명,수목구분,수목유형,식재일,관리기관전화번호,관리기관명,데이터기준일자,공원명,공원관리번호,도로명주소,지번주소,수목위치,수목위도,수목경도,흉고직경,근원직경,수령,보호덮개,보호틀,뿌리융기여부,통기,지장물,수목사진,기타사진
11230-00012-0126,산수유,공원수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.56707764,127.073555,0.08,0.09,32,,,N,N,,02-11230-00012-0126-01.jpg,02-11230-00012-0126-02.jpg
11230-00012-0127,소나무,공원수,교목,2000-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56770534,127.0744604,0.14,0.19,27,,,N,N,,02-11230-00012-0127-01.jpg,02-11230-00012-0127-02.jpg
11230-00012-0128,산수유,공원수,교목,2007-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.56705093,127.0735474,0.05,0.06,20,,,N,N,,02-11230-00012-0128-01.jpg,02-11230-00012-0128-02.jpg
11230-00012-0129,소나무,공원수,교목,1985-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56702423,127.0735245,0.22,0.24,42,,,N,Y,,02-11230-00012-0129-01.jpg,02-11230-00012-0129-02.jpg
11230-00012-0130,소나무,공원수,교목,1993-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.56701279,127.0734863,0.18,0.2,34,,,N,Y,,02-11230-00012-0130-01.jpg,02-11230-00012-0130-02.jpg
11230-00012-0131,소나무,공원수,교목,1993-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56772224,127.0745032,0.18,0.24,34,,,N,N,,02-11230-00012-0131-01.jpg,02-11230-00012-0131-02.jpg
11230-00012-0132,소나무,공원수,교목,1985-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.5669632,127.0734634,0.22,0.24,42,,,N,Y,,02-11230-00012-0132-01.jpg,02-11230-00012-0132-02.jpg
11230-00012-0133,소나무,공원수,교목,1993-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56772455,127.0744098,0.18,0.24,34,,,N,N,,02-11230-00012-0133-01.jpg,02-11230-00012-0133-02.jpg
11230-00012-0134,벚나무,공원수,교목,1996-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56726074,127.0739059,0.26,0.28,31,,,N,N,,02-11230-00012-0134-01.jpg,02-11230-00012-0134-02.jpg
11230-00012-0135,벚나무,공원수,교목,1993-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56720352,127.0739059,0.28,0.38,34,,,N,N,,02-11230-00012-0135-01.jpg,02-11230-00012-0135-02.jpg
11230-00012-0136,소나무,공원수,교목,1989-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.56692505,127.0734482,0.2,0.22,38,,,N,Y,,02-11230-00012-0136-01.jpg,02-11230-00012-0136-02.jpg
11230-00012-0137,소나무,공원수,교목,1991-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,1시,37.56775607,127.0744268,0.19,0.25,36,,,N,N,,02-11230-00012-0137-01.jpg,02-11230-00012-0137-02.jpg
11230-00012-0138,소나무,공원수,교목,1970-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.56695175,127.0735092,0.3,0.36,57,,,N,Y,,02-11230-00012-0138-01.jpg,02-11230-00012-0138-02.jpg
11230-00012-0139,소나무,공원수,교목,1987-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,1시,37.5677404,127.0745016,0.21,0.27,40,,,N,N,,02-11230-00012-0139-01.jpg,02-11230-00012-0139-02.jpg
11230-00012-0140,벚나무,공원수,교목,2005-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56719589,127.073967,0.18,0.24,22,,,N,N,,02-11230-00012-0140-01.jpg,02-11230-00012-0140-02.jpg
11230-00012-0141,벚나무,공원수,교목,2002-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56718826,127.0740204,0.21,0.24,25,,,N,N,,02-11230-00012-0141-01.jpg,02-11230-00012-0141-02.jpg
11230-00012-0142,벚나무,공원수,교목,2002-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,6시,37.56716537,127.0740585,0.21,0.25,25,,,N,N,,02-11230-00012-0142-01.jpg,02-11230-00012-0142-02.jpg
11230-00012-0143,벚나무,공원수,교목,1996-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,6시,37.5671463,127.0741119,0.26,0.33,31,,,N,N,,02-11230-00012-0143-01.jpg,02-11230-00012-0143-02.jpg
11230-00012-0144,벚나무,공원수,교목,1992-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,6시,37.56712723,127.0741653,0.29,0.32,35,,,N,N,,02-11230-00012-0144-01.jpg,02-11230-00012-0144-02.jpg
11230-00012-0145,소나무,공원수,교목,1981-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56774377,127.0745186,0.24,0.3,46,,,N,N,,02-11230-00012-0145-01.jpg,02-11230-00012-0145-02.jpg
11230-00012-0146,목련,공원수,교목,1994-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,1시,37.56788635,127.0744476,0.2,0.24,33,,,N,N,,02-11230-00012-0146-01.jpg,02-11230-00012-0146-02.jpg
11230-00012-0147,소나무,공원수,교목,1972-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.56700897,127.0735321,0.29,0.35,55,,,N,Y,,02-11230-00012-0147-01.jpg,02-11230-00012-0147-02.jpg
11230-00012-0148,산수유,공원수,교목,2003-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,1시,37.56788635,127.0744095,0.06,0.07,24,,,N,N,,02-11230-00012-0148-01.jpg,02-11230-00012-0148-02.jpg
11230-00012-0149,소나무,공원수,교목,1991-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56777869,127.0745068,0.19,0.25,36,,,N,N,,02-11230-00012-0149-01.jpg,02-11230-00012-0149-02.jpg
11230-00012-0150,산수유,공원수,교목,2011-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,1시,37.56790161,127.0744324,0.04,0.04,16,,,N,N,,02-11230-00012-0150-01.jpg,02-11230-00012-0150-02.jpg
11230-00012-0151,매실나무,공원수,교목,2011-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56782937,127.0745012,0.08,0.14,16,,,N,N,,02-11230-00012-0151-01.jpg,02-11230-00012-0151-02.jpg
11230-00012-0152,잣나무,공원수,교목,1974-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,1시,37.56786728,127.07444,0.34,0.36,53,,,N,N,,02-11230-00012-0152-01.jpg,02-11230-00012-0152-02.jpg
11230-00012-0153,소나무,공원수,교목,1985-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.56691742,127.0734863,0.22,0.25,42,,,N,Y,,02-11230-00012-0153-01.jpg,02-11230-00012-0153-02.jpg
11230-00012-0154,배롱나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56777266,127.0745357,0.08,0.11,18,,,N,N,,02-11230-00012-0154-01.jpg,02-11230-00012-0154-02.jpg
11230-00012-0155,잣나무,공원수,교목,1967-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,1시,37.56787491,127.0743942,0.39,0.4,60,,,N,N,,02-11230-00012-0155-01.jpg,02-11230-00012-0155-02.jpg
11230-00012-0156,배롱나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56779406,127.0745439,0.08,0.11,18,,,N,N,,02-11230-00012-0156-01.jpg,02-11230-00012-0156-02.jpg
11230-00012-0157,소나무,공원수,교목,1981-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.56687546,127.0735168,0.24,0.27,46,,,N,Y,,02-11230-00012-0157-01.jpg,02-11230-00012-0157-02.jpg
11230-00012-0158,잣나무,공원수,교목,1971-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56781387,127.0743027,0.36,0.4,56,,,N,N,,02-11230-00012-0158-01.jpg,02-11230-00012-0158-02.jpg
11230-00012-0159,잣나무,공원수,교목,1974-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.5677948,127.0742798,0.34,0.37,53,,,N,N,,02-11230-00012-0159-01.jpg,02-11230-00012-0159-02.jpg
11230-00012-0160,잣나무,공원수,교목,1968-04-08,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56785202,127.0743561,0.38,0.38,59,,,N,N,,02-11230-00012-0160-01.jpg,02-11230-00012-0160-02.jpg
11230-00012-0161,잣나무,공원수,교목,1970-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56784058,127.0743256,0.37,0.39,57,,,N,N,,02-11230-00012-0161-01.jpg,02-11230-00012-0161-02.jpg
11230-00012-0162,배롱나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56776478,127.0745396,0.08,0.11,18,,,N,N,,02-11230-00012-0162-01.jpg,02-11230-00012-0162-02.jpg
11230-00012-0163,이팝나무,공원수,교목,2010-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,5시,37.56721497,127.0742798,0.08,0.15,17,,,N,N,,02-11230-00012-0163-01.jpg,02-11230-00012-0163-02.jpg
11230-00012-0164,이팝나무,공원수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,5시,37.5672493,127.0743027,0.15,0.2,32,,,N,N,,02-11230-00012-0164-01.jpg,02-11230-00012-0164-02.jpg
11230-00012-0165,잣나무,공원수,교목,1976-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56785965,127.0743256,0.33,0.35,51,,,N,N,,02-11230-00012-0165-01.jpg,02-11230-00012-0165-02.jpg
11230-00012-0166,뽕나무,공원수,교목,2004-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.56687546,127.0735168,0.14,0.16,23,,,N,Y,,02-11230-00012-0166-01.jpg,02-11230-00012-0166-02.jpg
11230-00012-0167,잣나무,공원수,교목,1976-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56784439,127.0742874,0.33,0.36,51,,,N,N,,02-11230-00012-0167-01.jpg,02-11230-00012-0167-02.jpg
11230-00012-0168,잣나무,공원수,교목,1977-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56788254,127.074295,0.32,0.36,50,,,N,N,,02-11230-00012-0168-01.jpg,02-11230-00012-0168-02.jpg
11230-00012-0169,배롱나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56775237,127.0745637,0.08,0.11,18,,,N,N,,02-11230-00012-0169-01.jpg,02-11230-00012-0169-02.jpg
11230-00012-0170,소나무,공원수,교목,1979-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.56684494,127.0735397,0.25,0.27,48,,,N,Y,,02-11230-00012-0170-01.jpg,02-11230-00012-0170-02.jpg
11230-00012-0171,잣나무,공원수,교목,1967-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56790161,127.0742264,0.39,0.4,60,,,N,N,,02-11230-00012-0171-01.jpg,02-11230-00012-0171-02.jpg
11230-00012-0172,잣나무,공원수,교목,1974-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56790924,127.0742722,0.34,0.36,53,,,N,N,,02-11230-00012-0172-01.jpg,02-11230-00012-0172-02.jpg
11230-00012-0173,목련,공원수,교목,2010-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56792831,127.0743027,0.1,0.12,17,,,N,N,,02-11230-00012-0173-01.jpg,02-11230-00012-0173-02.jpg
11230-00012-0174,소나무,공원수,교목,1981-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.5668602,127.0735779,0.24,0.25,46,,,N,Y,,02-11230-00012-0174-01.jpg,02-11230-00012-0174-02.jpg
11230-00012-0175,목련,공원수,교목,2010-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,5시,37.56726074,127.0742645,0.1,0.13,17,,,N,N,,02-11230-00012-0175-01.jpg,02-11230-00012-0175-02.jpg
11230-00012-0176,목련,공원수,교목,2020-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,6시,37.56723785,127.0742416,0.04,0.09,7,,,N,N,,02-11230-00012-0176-01.jpg,02-11230-00012-0176-02.jpg
11230-00012-0177,감나무,공원수,교목,2022-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,6시,37.56726074,127.0742722,0.03,0.07,4,,,N,N,,02-11230-00012-0177-01.jpg,02-11230-00012-0177-02.jpg
11230-00012-0178,목련,공원수,교목,2018-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,6시,37.56724167,127.0742569,0.05,0.1,9,,,N,N,,02-11230-00012-0178-01.jpg,02-11230-00012-0178-02.jpg
11230-00012-0179,소나무,공원수,교목,1981-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,8시,37.56683731,127.0735779,0.24,0.27,46,,,N,N,,02-11230-00012-0179-01.jpg,02-11230-00012-0179-02.jpg
11230-00012-0180,배롱나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.5677306,127.0745127,0.08,0.11,18,,,N,N,,02-11230-00012-0180-01.jpg,02-11230-00012-0180-02.jpg
11230-00012-0181,배롱나무,공원수,교목,2007-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56775759,127.0745679,0.09,0.12,20,,,N,N,,02-11230-00012-0181-01.jpg,02-11230-00012-0181-02.jpg
11230-00012-0182,목련,공원수,교목,2010-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56682587,127.0736389,0.1,0.11,17,,,N,N,,02-11230-00012-0182-01.jpg,02-11230-00012-0182-02.jpg
11230-00012-0183,배롱나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56771476,127.0745551,0.08,0.11,18,,,N,N,,02-11230-00012-0183-01.jpg,02-11230-00012-0183-02.jpg
11230-00012-0184,배롱나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.5677159,127.0745197,0.08,0.12,18,,,N,N,,02-11230-00012-0184-01.jpg,02-11230-00012-0184-02.jpg
11230-00012-0185,목련,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56682205,127.0736542,0.11,0.12,19,,,N,N,,02-11230-00012-0185-01.jpg,02-11230-00012-0185-02.jpg
11230-00012-0186,목련,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56681061,127.0736237,0.11,0.12,19,,,N,N,,02-11230-00012-0186-01.jpg,02-11230-00012-0186-02.jpg
11230-00012-0187,배롱나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56769382,127.0745522,0.08,0.16,18,,,N,N,,02-11230-00012-0187-01.jpg,02-11230-00012-0187-02.jpg
11230-00012-0188,배롱나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.5676961,127.0745154,0.08,0.11,18,,,N,N,,02-11230-00012-0188-01.jpg,02-11230-00012-0188-02.jpg
11230-00012-0189,매실나무,공원수,교목,2015-04-03,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,6시,37.567276,127.0742264,0.06,0.08,12,,,N,N,,02-11230-00012-0189-01.jpg,02-11230-00012-0189-02.jpg
11230-00012-0190,매실나무,공원수,교목,2021-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56726456,127.0742035,0.03,0.07,6,,,N,N,,02-11230-00012-0190-01.jpg,02-11230-00012-0190-02.jpg
11230-00012-0191,배롱나무,공원수,교목,2016-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56787491,127.0742111,0.05,0.07,11,,,N,N,,02-11230-00012-0191-01.jpg,02-11230-00012-0191-02.jpg
11230-00012-0192,배롱나무,공원수,교목,2020-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,6시,37.56785584,127.0742188,0.03,0.04,7,,,N,N,,02-11230-00012-0192-01.jpg,02-11230-00012-0192-02.jpg
11230-00012-0193,매실나무,공원수,교목,2013-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56728363,127.0741653,0.07,0.09,14,,,N,N,,02-11230-00012-0193-01.jpg,02-11230-00012-0193-02.jpg
11230-00012-0194,배롱나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,2시,37.56770573,127.0745154,0.08,0.11,18,,,N,N,,02-11230-00012-0194-01.jpg,02-11230-00012-0194-02.jpg
11230-00012-0195,배롱나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,6시,37.5676963,127.0744914,0.08,0.11,18,,,N,N,,02-11230-00012-0195-01.jpg,02-11230-00012-0195-02.jpg
11230-00012-0196,모과나무,공원수,교목,2000-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,6시,37.56727219,127.0741348,0.14,0.21,27,,,N,N,,02-11230-00012-0196-01.jpg,02-11230-00012-0196-02.jpg
11230-00012-0197,산수유,공원수,교목,2011-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56726837,127.0741653,0.04,0.06,16,,,N,N,,02-11230-00012-0197-01.jpg,02-11230-00012-0197-02.jpg
11230-00012-0198,은행나무,공원수,교목,1997-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56677246,127.0736313,0.24,0.27,30,,,N,N,,02-11230-00012-0198-01.jpg,02-11230-00012-0198-02.jpg
11230-00012-0199,잣나무,공원수,교목,1967-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,3시,37.56791687,127.0742111,0.39,0.41,60,,,N,N,,02-11230-00012-0199-01.jpg,02-11230-00012-0199-02.jpg
11230-00012-0200,잣나무,공원수,교목,2014-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56749287,127.0744256,0.08,0.41,13,,,N,N,,02-11230-00012-0200-01.jpg,02-11230-00012-0200-02.jpg
11230-00012-0201,은행나무,공원수,교목,1998-04-03,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56677628,127.0735855,0.23,0.25,29,,,N,N,,02-11230-00012-0201-01.jpg,02-11230-00012-0201-02.jpg
11230-00012-0202,매실나무,공원수,교목,2017-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,12시,37.56731415,127.0741196,0.05,0.07,10,,,N,N,,02-11230-00012-0202-01.jpg,02-11230-00012-0202-02.jpg
11230-00012-0203,목련,공원수,교목,2012-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56796265,127.074295,0.09,0.11,15,,,N,N,,02-11230-00012-0203-01.jpg,02-11230-00012-0203-02.jpg
11230-00012-0204,매실나무,공원수,교목,2015-04-03,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56734848,127.0741196,0.06,0.08,12,,,N,N,,02-11230-00012-0204-01.jpg,02-11230-00012-0204-02.jpg
11230-00012-0205,산수유,공원수,교목,2011-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56737518,127.0740967,0.04,0.06,16,,,N,N,,02-11230-00012-0205-01.jpg,02-11230-00012-0205-02.jpg
11230-00012-0206,산수유,공원수,교목,2011-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56737137,127.0740662,0.04,0.05,16,,,N,N,,02-11230-00012-0206-01.jpg,02-11230-00012-0206-02.jpg
11230-00012-0207,목련,공원수,교목,2008-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56735229,127.0740509,0.11,0.17,19,,,N,N,,02-11230-00012-0207-01.jpg,02-11230-00012-0207-02.jpg
11230-00012-0208,은행나무,공원수,교목,1997-04-07,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,3시,37.56684113,127.0734863,0.24,0.27,30,,,N,N,,02-11230-00012-0208-01.jpg,02-11230-00012-0208-02.jpg
11230-00012-0209,산딸나무,공원수,교목,2013-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56747417,127.0744743,0.08,0.12,14,,,N,N,,02-11230-00012-0209-01.jpg,02-11230-00012-0209-02.jpg
11230-00012-0210,산수유,공원수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56689453,127.0734482,0.08,0.08,32,,,N,N,,02-11230-00012-0210-01.jpg,02-11230-00012-0210-02.jpg
11230-00012-0211,산수유,공원수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,3시,37.56690979,127.0734329,0.08,0.1,32,,,N,N,,02-11230-00012-0211-01.jpg,02-11230-00012-0211-02.jpg
11230-00012-0212,산딸나무,공원수,교목,2009-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,3시,37.56745277,127.0744743,0.1,0.14,18,,,N,N,,02-11230-00012-0212-01.jpg,02-11230-00012-0212-02.jpg
11230-00012-0213,산수유,공원수,교목,1995-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56690216,127.0734177,0.08,0.1,32,,,N,N,,02-11230-00012-0213-01.jpg,02-11230-00012-0213-02.jpg
11230-00012-0214,소나무,공원수,교목,2002-04-04,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,3시,37.56748541,127.0745048,0.13,0.19,25,,,N,N,,02-11230-00012-0214-01.jpg,02-11230-00012-0214-02.jpg
11230-00012-0215,산딸나무,공원수,교목,2016-04-05,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,3시,37.56752074,127.074549,0.06,0.1,11,,,N,N,,02-11230-00012-0215-01.jpg,02-11230-00012-0215-02.jpg
11230-00012-0216,단풍나무,공원수,교목,1982-04-06,02-2127-4319,서울특별시 동대문구청,2022-12-12,장평근린공원,11230-00012,,서울특별시 동대문구 장안동 356,7시,37.56682205,127.0734177,0.19,0.21,45,,,N,N,,02-11230-00012-0216-01.jpg,02-11230-00012-0216-02.jpg
